Level,Category,Word/Phrase,Type,Example Sentence,Notes
A1,Greetings & Expressions,Hello / Hi,expr.,Hello! My name is John.,Basic greeting
A1,Greetings & Expressions,Goodbye / Bye,expr.,Goodbye! See you tomorrow.,Farewell
A1,Greetings & Expressions,Good morning,expr.,Good morning! How are you?,Before noon
A1,Greetings & Expressions,Good afternoon,expr.,Good afternoon everyone.,Noon to 6pm
A1,Greetings & Expressions,Good night,expr.,Good night! Sleep well.,At bedtime
A1,Greetings & Expressions,Please,adv.,Can I have water please?,Politeness
A1,Greetings & Expressions,Thank you / Thanks,expr.,Thank you for your help.,Gratitude
A1,Greetings & Expressions,You're welcome,expr.,Thank you! — You're welcome.,Response to thanks
A1,Greetings & Expressions,Sorry / Excuse me,expr.,Sorry I don't understand.,Apology / attention
A1,Greetings & Expressions,Yes / No,expr.,Yes I like coffee. No I don't.,Agreement / denial
A1,Numbers,One two three,num.,I have three cats.,1 2 3
A1,Numbers,Four five six,num.,She is six years old.,4 5 6
A1,Numbers,Seven eight nine ten,num.,There are ten students.,7–10
A1,Numbers,Eleven to twenty,num.,I am fifteen years old.,11–20
A1,Numbers,Twenty-one thirty...,num.,He is thirty years old.,Tens: 20–90
A1,Numbers,One hundred,num.,There are one hundred people.,100
A1,Numbers,First second third,ord.,She is in first place.,Ordinals 1st–3rd
A1,Colors,Red,adj.,The apple is red.,Color
A1,Colors,Blue,adj.,The sky is blue.,Color
A1,Colors,Green,adj.,Grass is green.,Color
A1,Colors,Yellow,adj.,The sun is yellow.,Color
A1,Colors,Black,adj.,The cat is black.,Color
A1,Colors,White,adj.,Snow is white.,Color
A1,Colors,Orange,adj.,The orange is orange.,Color
A1,Colors,Pink,adj.,Her dress is pink.,Color
A1,Colors,Brown,adj.,The table is brown.,Color
A1,Colors,Grey / Gray,adj.,The clouds are grey today.,Color
A1,Family Members,Mother / Mom,n.,My mother is a doctor.,Female parent
A1,Family Members,Father / Dad,n.,My father works in a bank.,Male parent
A1,Family Members,Sister,n.,I have two sisters.,Female sibling
A1,Family Members,Brother,n.,My brother is ten years old.,Male sibling
A1,Family Members,Grandmother / Grandma,n.,My grandmother loves cooking.,Parent's mother
A1,Family Members,Grandfather / Grandpa,n.,My grandfather tells great stories.,Parent's father
